GeneID,D1.log2fc,D3.log2fc,D6.log2fc,D10.log2fc,D14.log2fc,D1.adjPval,D3.adjPval,D6.adjPval,D10.adjPval,D14.adjPval
A2LD1,0.352997276,0.4204426013,0.4859984908,0.7558143827,0.558003256,0.0241834566,0.0067249772,0.0019473984,0.0001014804,1.21874706214218E-05
A2M,0.2138989035,3.6922806584,5.4146622593,4.5836688642,5.0322577634,0.414292843,3.88270212977302E-09,1.18069729302656E-10,5.23675167495261E-10,1.82963449036028E-12
A4GALT,-1.151040244,-1.1902488987,0.0171499686,-1.3692718584,-1.3026178742,0.0692273393,0.0464490029,0.9878881087,0.0210332342,0.0008763576
AACS,0.10610534,1.0055227124,1.7869475826,1.6665414331,1.8303112974,0.906900008,0.0024452715,2.67927884562381E-05,5.60255849696857E-05,2.37117689729973E-07
AACSL,0.0596406314,0.213530795,0.4432363313,0.1164378279,0.4051785683,0.9432381666,0.4740532766,0.0462274028,0.7261247792,0.0045816584
AADACL1,-1.3563341889,-1.4671198224,-1.6287868998,-1.5554187798,-1.475325727,0.0002217594,8.26686884889453E-05,2.66669285602215E-05,4.5961536691101E-05,6.49673283325313E-07
AAGAB,-0.1546509897,-0.1881430503,-0.6368107683,-0.3263706723,-0.413057522,0.75685592,0.5825377163,0.0090372696,0.1901338713,0.0053954906
AAK1,0.0726619244,-0.0809808595,-0.0576833398,-0.1002416271,-0.2571390971,0.8857831201,0.805434,0.834239301,0.6827874092,0.0140694388
AAMP,0.9000173061,0.8942628271,1.7211083876,0.9883147404,0.9495331551,0.0647590153,0.0518533428,0.0008135155,0.0293165095,0.0012881202
AARS,-0.1652559012,-0.1506225831,-0.2575228944,-0.7717539727,-0.1522088166,0.8070501105,0.7711501843,0.4270579007,0.0117256018,0.4129443716
AARSD1,0.5848235731,0.6428797288,0.2325749858,0.5767723037,0.5449848531,0.0793550112,0.0405255404,0.5090740656,0.0597030447,0.0041007617
AASDH,0.0532846911,-0.0254444898,0.4752097444,0.1451968404,0.317572577,0.9438145313,0.9606905084,0.01944921,0.5820193529,0.0104695683
AASDHPPT,0.2446049244,-0.1769925611,-0.5052916372,-0.0121718068,-0.3777254043,0.4482860515,0.5908438711,0.0246073842,0.9791923176,0.007027131
AASS,-0.2219635278,-0.1949058856,0.1225850284,-0.4066340502,-0.5281946059,0.2642726718,0.3007613072,0.5185945098,0.0158105847,5.48059319119546E-05
AATK,0.024941825,0.1004058106,0.6572043884,0.2859561393,0.4597170077,0.9855618445,0.8635736302,0.0191516747,0.3694396625,0.0078560412
ABAT,0.0419351925,-0.1266842843,-0.1892561519,-0.3355742314,-0.2502260387,0.9552344461,0.6693466175,0.3505016411,0.0816437698,0.0253754714
ABCA1,-0.3765034544,-0.3482386234,-1.1105854383,-1.078316084,-1.7086775326,0.4829517451,0.4624535846,0.0041496286,0.0062103438,2.88671151463089E-06
ABCA3,-0.3128416871,-0.2294093919,-0.1677187157,-0.2331650635,-0.3046416462,0.0814452157,0.1989709818,0.3277299786,0.1655373331,0.003197568
ABCA5,-0.0227689025,0.2082131334,0.4385655796,0.6237530351,0.5458155875,0.9850798645,0.5370504773,0.0649014324,0.0146301413,0.0009756267
ABCA6,-0.206411217,-0.075143875,-0.3267318713,-0.1871131129,-0.2698505911,0.4258089439,0.8376717012,0.0710506486,0.3753657676,0.0155035769
ABCA8,-1.0109133114,-0.8287881808,-1.4659357148,-0.7839007254,-1.1314080521,0.0063574215,0.015768544,0.000273678,0.0194166119,0.000031824
ABCA9,-0.2619474742,-0.3557440934,-0.2925194542,-0.0789870297,-0.4008162742,0.3530450333,0.1185299204,0.1695957231,0.8197222859,0.0033592257
