,D1.log2fc,D1.adjPval,D3.log2fc,D3.adjPval,D6.log2fc,D6.adjPval,D10.log2fc,D10.adjPval,D14.log2fc,D14.adjPval
hsa-let-7a-2,-0.453086,0.1581623107,-0.5979695,0.0354796269,-0.349413,0.1511811932,-0.5287075,0.0360033103,-0.517372,0.0393116301
hsa-let-7b,-0.1828075,0.6805397794,-0.5109215,0.1044268878,-0.8543755,0.0078872281,-0.431807,0.1255114042,-0.37995,0.1726778564
hsa-let-7d,0.1055515,0.7983181336,0.544159,0.0342979094,0.7416965,0.0048710916,0.454508,0.0445352484,0.596869,0.0124695747
hsa-let-7e,0.368134,0.3688091972,0.354766,0.3182890984,0.5901225,0.0635131764,0.628861,0.0499786424,0.7255935,0.0265985268
hsa-let-7f,0.1948,0.5887412744,0.631702,0.0318404713,0.8214655,0.0054708753,0.3799185,0.1269693941,0.6545535,0.015233331
hsa-let-7f1,-0.3276645,0.3636968824,-0.3653635,0.231275103,-0.5780615,0.0423872835,-0.195572,0.5175904156,-0.2057555,0.4524057109
hsa-let-7i,-0.299171,0.3268146677,-0.498641,0.0597394453,-0.6303275,0.0134390093,-0.3179945,0.1695900568,-0.1953455,0.4068516761
hsa-miR-101,0.0186155,0.9809516458,0.500505,0.0597394453,0.639255,0.0130949076,0.84855,0.0026601534,1.241754,0.0002405237
hsa-miR-103a,0.025281,0.9493525624,0.1807575,0.3526511883,0.3458285,0.0462606126,0.555056,0.0043771169,0.720772,0.0009225804
hsa-miR-105,0.918174,0.0439991629,0.673708,0.0770419636,0.357143,0.3088167894,0.199688,0.6083627638,0.6675515,0.0526314703
hsa-miR-107,-0.133537,0.6805397794,-0.1144705,0.6814717961,0.135009,0.5699387233,0.3170635,0.1255114042,0.6821375,0.0047863844
hsa-miR-10a,-0.1803385,0.5293279992,-0.4685085,0.0429610765,-0.6527855,0.0060048627,-0.943493,0.0006313294,-0.725884,0.0029243107
hsa-miR-1184,-1.338848,0.0070184348,-1.6086545,0.0010389658,-2.9714805,0.000009253,-3.81085,1.86269070281379E-06,-3.2589885,0.00000453
hsa-miR-1204,-0.29849,0.5847357329,-0.276402,0.5621128162,-0.430066,0.265944264,-0.8398315,0.0332453787,-0.3016505,0.4265511068
hsa-miR-1207-3p,-0.054249,0.9525356754,-0.08236,0.8860192382,0.4676075,0.2277776047,1.6465135,0.0009674844,1.060645,0.0112212186
hsa-miR-1228,-0.163688,0.6938436839,-0.278711,0.3531501852,-0.4660775,0.077077368,-0.713916,0.0124814209,-0.342007,0.1816605648
hsa-miR-1234,0.296674,0.5094312355,1.9562795,0.0002584264,3.420209,3.42825205003323E-06,3.5957165,2.48047200950975E-06,4.56691,4.28111506828006E-07
hsa-miR-1238,0.1487005,0.7804834747,0.7083955,0.0361651769,0.9294065,0.0060048627,1.1581435,0.0015692642,1.3910445,0.0004793437
hsa-miR-124,0.489777,0.2477461911,0.4378935,0.2310625745,0.552895,0.0919618671,0.823106,0.0182801798,0.5589855,0.0869351776
hsa-miR-1244,0.4324425,0.1302162836,0.728991,0.0085183614,0.5190705,0.0249328346,0.500576,0.0285763429,0.4205195,0.0577495784
hsa-miR-1246,1.5097605,0.0322065068,1.6197765,0.0088313808,1.9894925,0.0016236657,4.4664875,8.27870601241283E-06,4.334517,8.92867875443183E-06
hsa-miR-1250,0.2841215,0.3796685066,0.420502,0.1218461126,0.5146185,0.0428097292,0.28343,0.2460948794,0.3568725,0.1420699008
hsa-miR-1255a,0.539623,0.2649636686,0.634639,0.1243567321,0.804097,0.0403409851,0.20729,0.6310835706,-0.0432105,0.9319258561
hsa-miR-125a-5p,0.27091,0.3000967399,0.2608295,0.2481847325,0.3866325,0.0616452649,0.454426,0.0315147571,0.5747685,0.0101052893
hsa-miR-125b-1,-0.619179,0.01001435,-0.9998645,0.0002195146,-1.2348995,2.83742365875862E-05,-1.1216635,3.84088945428553E-05,-1.08792,0.000043438
