,D1.log2fc,D3.log2fc,D6.log2fc,D10.log2fc,D14.log2fc,ID,dataType
hsa-let-7a-2,-0.453086,-0.5979695,-0.349413,-0.5287075,-0.517372,406882,L
hsa-let-7b,-0.1828075,-0.5109215,-0.8543755,-0.431807,-0.37995,406884,L
hsa-let-7d,0.1055515,0.544159,0.7416965,0.454508,0.596869,406886,L
hsa-let-7e,0.368134,0.354766,0.5901225,0.628861,0.7255935,406887,L
hsa-let-7f,0.1948,0.631702,0.8214655,0.3799185,0.6545535,NA,L
hsa-let-7f1,-0.3276645,-0.3653635,-0.5780615,-0.195572,-0.2057555,NA,L
hsa-let-7i,-0.299171,-0.498641,-0.6303275,-0.3179945,-0.1953455,406891,L
hsa-miR-101,0.0186155,0.500505,0.639255,0.84855,1.241754,NA,L
hsa-miR-103a,0.025281,0.1807575,0.3458285,0.555056,0.720772,NA,L
hsa-miR-105,0.918174,0.673708,0.357143,0.199688,0.6675515,NA,L
hsa-miR-107,-0.133537,-0.1144705,0.135009,0.3170635,0.6821375,406901,L
hsa-miR-10a,-0.1803385,-0.4685085,-0.6527855,-0.943493,-0.725884,406902,L
hsa-miR-1184,-1.338848,-1.6086545,-2.9714805,-3.81085,-3.2589885,NA,L
hsa-miR-1204,-0.29849,-0.276402,-0.430066,-0.8398315,-0.3016505,100302185,L
hsa-miR-1207-3p,-0.054249,-0.08236,0.4676075,1.6465135,1.060645,100302175,L
hsa-miR-1228,-0.163688,-0.278711,-0.4660775,-0.713916,-0.342007,100302201,L
hsa-miR-1234,0.296674,1.9562795,3.420209,3.5957165,4.56691,100302196,L
hsa-miR-1238,0.1487005,0.7083955,0.9294065,1.1581435,1.3910445,100302226,L
hsa-miR-124,0.489777,0.4378935,0.552895,0.823106,0.5589855,NA,L
hsa-miR-1244,0.4324425,0.728991,0.5190705,0.500576,0.4205195,NA,L
hsa-miR-1246,1.5097605,1.6197765,1.9894925,4.4664875,4.334517,100302142,L
hsa-miR-1250,0.2841215,0.420502,0.5146185,0.28343,0.3568725,100302229,L
hsa-miR-1255a,0.539623,0.634639,0.804097,0.20729,-0.0432105,100302193,L
hsa-miR-125a-5p,0.27091,0.2608295,0.3866325,0.454426,0.5747685,406910,L
hsa-miR-125b-1,-0.619179,-0.9998645,-1.2348995,-1.1216635,-1.08792,406911,L
hsa-miR-1262,-0.669204,-0.422843,-0.708664,-0.721383,-0.7938815,100302279,L
hsa-miR-1271,0.1408705,0.2617215,0.3832745,0.4530465,0.6110505,100302203,L
hsa-miR-1272,-0.3706,-0.580891,-0.3128155,-0.290553,-0.626166,100302184,L
hsa-miR-1275,0.27997,0.276018,1.633387,1.6813375,1.065805,100302123,L
hsa-miR-127-5p,-0.489664,-0.7559695,-0.883345,-0.1900635,-0.3685075,406914,L
hsa-miR-1276,0.4737545,0.2039345,0.2235365,0.6866795,0.813175,100302121,L
hsa-miR-1284,-0.3516935,-0.2882415,-0.3198665,-0.446016,-0.2808265,100302112,L
hsa-miR-1290,1.869218,2.027741,2.5679435,4.410206,4.2868965,100302276,L
hsa-miR-1297,-0.030634,0.435879,0.9173975,0.743888,1.3110405,100302187,L
hsa-miR-1298,-0.283947,-0.701181,-0.7505815,-1.0633975,-0.75501,100302153,L
hsa-miR-1299,0.4667415,0.7225315,0.834306,0.651883,0.4086865,100302167,L
hsa-miR-130a,-0.2028855,-0.460603,-0.694721,-0.803747,-0.678022,406919,L
hsa-miR-133b,-0.0199395,0.1481685,0.7660755,0.156892,0.095821,442890,L
hsa-miR-135b,0.9230165,1.80486,1.886177,2.429648,2.7648525,442891,L
hsa-miR-136,-0.450624,-0.997323,-1.3101905,-0.8742235,-0.5757925,406927,L
hsa-miR-138,0.034301,0.4649115,0.6583235,0.659686,0.6903475,NA,L
hsa-miR-1381,-0.7858645,-0.3098905,-0.4037205,-0.9648285,-0.9175675,NA,L
