Time	[SRC]	[MIR199b_5p]	[Cav1]	[TGFB3]	[HP199b]	[Sox9mRNA]	[Acan]	[Col2a1]	[MIR199a_5p]	[OtherTargets]	[OtherTargetsRegulators]	[MIR140_5p]	[HP199a]	[SOX9Protein]	[SOX9PhosphoProtein]	[GAG]	
0	1000	5.42346	13.2114	10000	0	8.7604	6.2571	6.40998	10.5401	25	1000	6.55829	1	1	0	1	
0.21	746.317	6.02097	24.8033	9990.42	0	4.5493	4.58366	5.94402	1.52005	130.687	162.517	6.68772	1	43.606	0.398671	13.2886	
0.42	557.53	6.51539	33.5255	9980.85	0	3.1343	2.80333	4.38753	1.52003	224.73	26.4196	6.59394	1	29.856	0.293647	11.6008	
0.63	417.037	6.92452	39.636	9971.29	0	2.50982	1.78696	3.15923	1.52001	304.12	4.30292	6.42292	1	23.8403	0.248195	8.81524	
0.84	312.483	7.26306	43.8798	9961.74	0	2.1645	1.25302	2.33145	1.52	370.677	0.708783	6.22353	1	20.525	0.223208	6.95367	
1.05	234.675	7.5432	46.7426	9952.2	0	1.96656	0.971642	1.79873	1.51998	420.274	0.124707	6.01559	1	18.6202	0.208774	5.85228	
1.26	176.769	7.77501	48.5765	9942.67	0	1.90735	0.828459	1.47181	1.51997	432.361	0.0297902	5.81147	1	18.0236	0.203964	5.20576	
1.47	133.675	7.96683	49.6476	9933.15	0	2.00964	0.782687	1.30481	1.51995	389.538	0.0143654	5.62403	1	18.9588	0.210539	4.85159	
1.68	101.604	8.12556	50.1608	9923.63	0	2.2351	0.817027	1.27146	1.51994	317.127	0.0118588	5.46477	1	21.072	0.225956	4.72646	
1.89	77.735	8.2569	50.274	9914.13	0	2.56145	0.917833	1.34968	1.51992	237.451	0.0114514	5.3409	1	24.1407	0.248406	4.7933	
2.1	59.9702	8.36559	50.1093	9904.64	0	3.01017	1.0867	1.53456	1.51991	157.665	0.0113852	5.25898	1	28.3612	0.27923	5.03938	
2.31	46.7481	8.45552	49.7599	9895.15	0	3.61738	1.34434	1.84538	1.51989	82.3069	0.0113744	5.22774	1	34.0784	0.320964	5.49298	
2.52	36.9065	8.52994	49.2961	9885.68	0	4.28937	1.70901	2.30527	1.51988	24.8093	0.0113727	5.2556	1	40.4808	0.368401	6.20911	
2.73	29.5805	8.59152	48.7704	9876.21	0	4.50332	2.04225	2.77368	1.51986	11.959	0.0113724	5.3237	1	42.6172	0.385349	7.06502	
2.94	24.1267	8.64248	48.2207	9866.76	0	4.5444	2.20445	3.06711	1.51984	11.6389	0.0113723	5.39508	1	43.0102	0.388284	7.66682	
3.15	20.066	8.68465	47.6739	9857.31	0	4.58244	2.28229	3.24237	1.51983	11.5556	0.0113723	5.46437	1	43.3708	0.390936	8.00013	
3.36	17.0422	8.71954	47.1481	9847.87	0	4.61932	2.32818	3.35423	1.51981	11.4897	0.0113723	5.53162	1	43.7207	0.39351	8.19686	
3.57	14.7899	8.74841	46.6549	9838.44	0	4.65412	2.36147	3.43161	1.5198	11.4361	0.0113723	5.59684	1	44.0511	0.395943	8.33366	
3.78	13.1117	8.7723	46.2009	9829.03	0	4.68626	2.38903	3.48953	1.51978	11.3925	0.0113723	5.66	1	44.3563	0.398192	8.44343	
3.99	11.8609	8.79207	45.7893	9819.62	0	4.71537	2.4132	3.5357	1.51977	11.3569	0.0113723	5.721	1	44.6329	0.400231	8.539	
4.2	10.928	8.80843	45.4205	9810.22	0	4.74131	2.43472	3.57412	1.51975	11.3278	0.0113723	5.77973	1	44.8795	0.40205	8.62509	
4.41	10.2318	8.82197	45.0934	9800.83	0	4.76408	2.45384	3.60684	1.51974	11.3038	0.0113723	5.83611	1	45.096	0.403648	8.70342	
4.62	9.71167	8.83317	44.8056	9791.45	0	4.78377	2.47065	3.63497	1.51972	11.2842	0.0113723	5.89003	1	45.2833	0.405031	8.77467	
4.83	9.3226	8.84244	44.5543	9782.08	0	4.80056	2.48525	3.65917	1.51971	11.268	0.0113723	5.94144	1	45.443	0.406211	8.83915	
5.04	9.03107	8.85011	44.3361	9772.71	0	4.81466	2.49776	3.67988	1.51969	11.2547	0.0113723	5.99027	1	45.5773	0.407203	8.89717	
5.25	8.8121	8.85645	44.1476	9763.36	0	4.82632	2.50831	3.69743	1.51968	11.2438	0.0113723	6.03651	1	45.6883	0.408024	8.94905	
5.46	8.64716	8.8617	43.9854	9754.02	0	4.83577	2.51708	3.71213	1.51966	11.2348	0.0113723	6.08016	1	45.7783	0.40869	8.99515	
5.67	8.5224	8.86605	35.5676	9744.68	0	5.81579	2.68352	3.88574	9.17654	5.18379	0.0113723	6.14404	0	54.6539	0.469509	9.15276	
5.88	8.42757	8.86965	21.7637	9735.36	0	8.23564	3.68826	4.99152	11.08	4.90727	0.0113723	6.34981	0	77.3768	0.6338	10.5413	
6.09	8.355	8.87262	14.1754	9726.04	0	10.6843	5.5793	7.24565	11.3875	4.87304	0.0113723	6.76053	0	100.778	0.807263	14.0568	
6.3	8.299	8.87508	11.6561	9716.74	0	11.8553	7.43859	9.7421	11.4371	4.86739	0.0113723	7.30249	0	112.163	0.893816	18.6647	
6.51	8.25533	8.87712	11.0337	9707.44	0	12.1805	8.57234	11.5739	11.445	4.86622	0.0113723	7.86532	0	115.355	0.91843	22.4114	
6.72	8.22085	8.87881	10.8951	9698.15	0	12.2497	9.10519	12.6753	11.4462	4.8658	0.0113723	8.40102	0	116.037	0.923735	24.6966	
6.93	8.1932	8.8802	10.8647	9688.87	0	12.2588	9.32471	13.2854	11.4463	4.86555	0.0113723	8.89907	0	116.13	0.924482	25.9308	
7.14	8.17064	8.88136	10.8578	9679.61	0	12.2546	9.40699	13.6107	11.4462	4.86536	0.0113723	9.35946	0	116.091	0.924213	26.5989	
7.35	8.15186	8.88231	10.856	9670.35	0	12.2473	9.43348	13.7792	11.4461	4.86521	0.0113723	9.7844	0	116.022	0.923708	26.9954	
7.56	8.13591	8.8831	10.8554	9661.09	0	12.239	9.43801	13.8629	11.446	4.86509	0.0113723	10.1764	0	115.944	0.923138	27.2643	
7.77	8.12206	8.88376	10.8551	9651.85	0	12.2304	9.43398	13.9012	11.4459	4.86499	0.0113723	10.538	0	115.863	0.922539	27.4701	
7.98	8.10978	8.8843	10.8548	9642.62	0	12.2215	9.42653	13.915	11.4458	4.86491	0.0113723	10.8714	0	115.778	0.921922	27.6408	
8.19	8.09866	8.88475	10.8547	9633.4	0	12.2124	9.41765	13.9156	11.4457	4.86484	0.0113723	11.1787	0	115.692	0.921289	27.7886	
8.4	8.08841	8.88512	10.8545	9624.18	0	12.2031	9.40809	13.909	11.4455	4.86479	0.0113723	11.4619	0	115.604	0.920642	27.9195	
8.61	8.07881	8.88542	10.8545	9614.98	0	12.1936	9.39816	13.8985	11.4454	4.86475	0.0113723	11.7228	0	115.514	0.919982	28.0364	
8.82	8.0697	8.88568	10.8544	9605.78	0	12.1839	9.38796	13.8858	11.4453	4.86472	0.0113723	11.963	0	115.422	0.919311	28.1411	
9.03	8.06095	8.88589	10.8543	9596.6	0	12.1741	9.37757	13.8717	11.4452	4.86469	0.0113723	12.1843	0	115.33	0.918629	28.2349	
9.24	8.05248	8.88606	10.8543	9587.42	0	12.1642	9.36702	13.8569	11.4451	4.86468	0.0113723	12.3878	0	115.235	0.917938	28.3187	
9.45	8.0442	8.8862	10.8543	9578.25	0	12.1541	9.35631	13.8415	11.4449	4.86466	0.0113723	12.5751	0	115.14	0.917238	28.3935	
9.66	8.03609	8.88632	10.8543	9569.09	0	12.144	9.34547	13.8258	11.4448	4.86465	0.0113723	12.7473	0	115.044	0.91653	28.4598	
9.87	8.02808	8.88642	10.8543	9559.94	0	12.1337	9.3345	13.8098	11.4447	4.86465	0.0113723	12.9056	0	114.946	0.915815	28.5185	
10.08	8.02017	8.8865	10.8543	9550.8	0	12.1233	9.32343	13.7936	11.4446	4.86465	0.0113723	13.051	0	114.848	0.915094	28.57	
10.29	8.01233	8.88657	10.8544	9541.67	0	12.1128	9.31226	13.7772	11.4445	4.86464	0.0113723	13.1844	0	114.749	0.914367	28.615	
10.5	8.00454	8.88663	10.8544	9532.55	0	12.1023	9.30101	13.7606	11.4443	4.86465	0.0113723	13.3068	0	114.649	0.913634	28.6539	
10.71	7.99679	8.88667	10.8545	9523.44	0	12.0917	9.28967	13.7439	11.4442	4.86465	0.0113723	13.4191	0	114.548	0.912896	28.6871	
10.92	7.98907	8.88671	10.8545	9514.33	0	12.081	9.27825	13.7271	11.4441	4.86466	0.0113723	13.5219	0	114.447	0.912154	28.7152	
11.13	7.98138	8.88674	10.8545	9505.24	0	12.0703	9.26677	13.7102	11.444	4.86466	0.0113723	13.616	0	114.346	0.911408	28.7385	
11.34	7.97371	8.88677	10.8546	9496.15	0	12.0595	9.25523	13.6932	11.4439	4.86467	0.0113723	13.702	0	114.243	0.910658	28.7573	
11.55	7.96605	8.88679	10.8546	9487.07	0	12.0487	9.24364	13.6761	11.4437	4.86468	0.0113723	13.7806	0	114.141	0.909905	28.7721	
11.76	7.95842	8.88681	10.8547	9478.01	0	12.0378	9.232	13.659	11.4436	4.86468	0.0113723	13.8523	0	114.038	0.909149	28.7831	
11.97	7.95079	8.88682	10.8548	9468.95	0	12.0269	9.22031	13.6417	11.4435	4.86469	0.0113723	13.9176	0	113.934	0.90839	28.7906	
12.18	7.94318	8.88684	10.8548	9459.9	0	12.016	9.20859	13.6245	11.4434	4.8647	0.0113723	13.977	0	113.831	0.907628	28.7948	
12.39	7.93558	8.88685	10.8549	9450.86	0	12.005	9.19683	13.6071	11.4433	4.86471	0.0113723	14.031	0	113.727	0.906865	28.7961	
12.6	7.92799	8.88685	10.8549	9441.82	0	11.994	9.18504	13.5897	11.4431	4.86472	0.0113723	14.0799	0	113.622	0.906099	28.7947	
12.81	7.9204	8.88686	10.855	9432.8	0	11.9829	9.17323	13.5723	11.443	4.86473	0.0113723	14.1242	0	113.518	0.905332	28.7907	
13.02	7.91283	8.88687	10.855	9423.79	0	11.9719	9.16139	13.5548	11.4429	4.86474	0.0113723	14.1642	0	113.413	0.904563	28.7843	
13.23	7.90527	8.88687	10.8551	9414.78	0	11.9608	9.14953	13.5373	11.4428	4.86475	0.0113723	14.2002	0	113.308	0.903793	28.7758	
13.44	7.89771	8.88688	10.8552	9405.79	0	11.9497	9.13765	13.5197	11.4427	4.86477	0.0113723	14.2325	0	113.203	0.903021	28.7653	
13.65	7.89016	8.88688	10.8552	9396.8	0	11.9386	9.12575	13.5021	11.4425	4.86478	0.0113723	14.2614	0	113.098	0.902249	28.7529	
13.86	7.88262	8.88688	10.8553	9387.82	0	11.9275	9.11385	13.4846	11.4424	4.86479	0.0113723	14.2872	0	112.992	0.901475	28.7389	
14.07	7.87509	8.88688	10.8553	9378.85	0	11.9164	9.10193	13.4669	11.4423	4.8648	0.0113723	14.3101	0	112.887	0.900701	28.7233	
