Time	[SRC]	[MIR199b_5p]	[Cav1]	[TGFB3]	[HP199b]	[Sox9mRNA]	[Acan]	[Col2a1]	[MIR199a_5p]	[OtherTargets]	[OtherTargetsRegulators]	[MIR140_5p]	[HP199a]	[SOX9Protein]	[SOX9PhosphoProtein]	[GAG]	
0	1000	5.42346	13.2114	10000	1	8.7604	6.2571	6.40998	10.5401	25	1000	6.55829	0	1	0	1	
0.21	746.317	1.57012	17.2301	9990.42	1	7.1153	5.65579	7.08521	11.303	58.3069	162.516	6.83846	0	67.9679	0.577787	14.539	
0.42	557.53	0.990734	22.5335	9980.85	1	5.27371	4.28817	6.20393	11.4262	99.7657	26.4196	6.93707	0	50.2261	0.444409	14.6723	
0.63	417.037	0.903617	26.8602	9971.29	1	4.31457	3.13331	5.00714	11.446	136.42	4.30292	6.90939	0	41.0049	0.375221	12.2575	
0.84	312.483	0.890518	30.2077	9961.74	1	3.7531	2.38225	4.01052	11.4491	167.503	0.708782	6.81894	0	35.6193	0.33492	10.1192	
1.05	234.675	0.888549	32.832	9952.2	1	3.43571	1.92551	3.28198	11.4495	188.184	0.124707	6.69689	0	32.5566	0.311804	8.64176	
1.26	176.769	0.888252	34.9271	9942.67	1	3.43196	1.68898	2.81754	11.4495	177.883	0.0297902	6.56776	0	32.4297	0.309915	7.72316	
1.47	133.675	0.888208	36.624	9933.15	1	3.89792	1.69404	2.66744	11.4494	121.111	0.0143654	6.46561	0	36.7359	0.340447	7.34415	
1.68	101.604	0.888201	38.013	9923.63	1	4.74094	1.98515	2.90086	11.4493	51.1323	0.0118587	6.42761	0	44.6807	0.398383	7.61094	
1.89	77.735	0.8882	39.159	9914.13	1	5.25512	2.44064	3.41134	11.4491	16.8993	0.0114514	6.45974	0	49.7343	0.437479	8.47548	
2.1	59.9702	0.8882	40.1102	9904.64	1	5.20504	2.68356	3.77245	11.449	14.5034	0.0113852	6.50653	0	49.299	0.434777	9.2876	
2.31	46.7481	0.8882	40.9033	9895.15	1	5.12567	2.73757	3.92457	11.4489	14.4389	0.0113744	6.54339	0	48.5442	0.429207	9.65282	
2.52	36.9064	0.8882	41.5669	9885.68	1	5.05929	2.72332	3.96733	11.4488	14.434	0.0113727	6.57116	0	47.9123	0.424536	9.73978	
2.73	29.5805	0.8882	42.1238	9876.21	1	5.00398	2.68953	3.95848	11.4487	14.4335	0.0113724	6.5916	0	47.3859	0.420645	9.71204	
2.94	24.1267	0.8882	42.5921	9866.76	1	4.95756	2.65325	3.92751	11.4486	14.4335	0.0113723	6.6061	0	46.9442	0.41738	9.6469	
3.15	20.066	0.8882	42.9866	9857.31	1	4.91832	2.61986	3.88901	11.4485	14.4337	0.0113723	6.61582	0	46.5708	0.414622	9.57481	
3.36	17.0422	0.8882	43.3194	9847.87	1	4.88492	2.59061	3.84991	11.4483	14.4339	0.0113723	6.62168	0	46.2531	0.412274	9.50643	
3.57	14.7899	0.8882	43.6004	9838.44	1	4.8563	2.56542	3.81327	11.4482	14.4341	0.0113723	6.62442	0	45.9808	0.410264	9.44479	
3.78	13.1117	0.8882	43.8379	9829.03	1	4.83162	2.54377	3.78021	11.4481	14.4343	0.0113723	6.62467	0	45.7461	0.40853	9.39016	
3.99	11.8609	0.8882	44.0388	9819.62	1	4.8102	2.52513	3.7509	11.448	14.4345	0.0113723	6.62291	0	45.5424	0.407027	9.34189	
4.2	10.928	0.8882	44.2088	9810.22	1	4.79148	2.50898	3.72513	11.4479	14.4347	0.0113723	6.61956	0	45.3645	0.405713	9.29913	
