Time	[SRC]	[MIR199b_5p]	[Cav1]	[TGFB3]	[HP199b]	[Sox9mRNA]	[Acan]	[Col2a1]	[MIR199a_5p]	[OtherTargets]	[OtherTargetsRegulators]	[MIR140_5p]	[HP199a]	[SOX9Protein]	[SOX9PhosphoProtein]	[GAG]	
0	1000	5.42346	13.2114	10000	0	8.7604	6.2571	6.40998	10.5401	25	1000	6.55829	0	1	0	1	
0.21	746.317	6.02097	13.3659	9990.42	0	9.83815	6.40678	7.8602	11.303	23.4652	162.517	6.92715	0	93.0884	0.754472	15.2059	
0.42	557.53	6.51539	12.8245	9980.85	0	10.253	6.87982	9.12829	11.4262	20.3678	26.4198	7.34715	0	97.0373	0.783593	18.6537	
0.63	417.037	6.92452	12.3343	9971.29	0	10.5669	7.28616	10.0586	11.446	18.7021	4.30297	7.76678	0	100.032	0.805765	20.282	
0.84	312.483	7.26306	11.9757	9961.74	0	10.8246	7.61672	10.7522	11.4491	17.2762	0.708792	8.1787	0	102.479	0.82374	21.454	
1.05	234.675	7.5432	11.7195	9952.2	0	11.1611	7.92236	11.3209	11.4495	14.609	0.124709	8.5829	0	105.624	0.846356	22.4409	
1.26	176.769	7.77501	11.5329	9942.67	0	11.7431	8.345	11.9585	11.4495	9.32765	0.0297904	8.99481	0	111.105	0.886162	23.5107	
1.47	133.675	7.96683	11.3932	9933.15	0	12.1554	8.86209	12.6977	11.4494	5.97557	0.0143654	9.42248	0	115.096	0.916332	24.8587	
1.68	101.604	8.12556	11.2863	9923.63	0	12.2928	9.22297	13.2823	11.4493	5.16672	0.0118588	9.84079	0	116.434	0.926558	26.1014	
1.89	77.735	8.2569	11.203	9914.13	0	12.3474	9.41506	13.6586	11.4491	5.00651	0.0114514	10.2351	0	116.96	0.930513	26.9669	
2.1	59.9702	8.36559	11.1373	9904.64	0	12.3795	9.51444	13.8899	11.449	4.96333	0.0113852	10.6032	0	117.267	0.932795	27.5278	
2.31	46.7481	8.45552	11.0849	9895.15	0	12.4017	9.56946	14.0329	11.4489	4.94251	0.0113744	10.9456	0	117.479	0.934365	27.9107	
2.52	36.9064	8.52994	11.0428	9885.68	0	12.4174	9.60261	14.1231	11.4488	4.92793	0.0113727	11.2637	0	117.629	0.935475	28.196	
2.73	29.5804	8.59152	11.0087	9876.21	0	12.4281	9.6238	14.1809	11.4487	4.91645	0.0113724	11.5588	0	117.732	0.936238	28.4243	
2.94	24.1266	8.64248	10.981	9866.76	0	12.4349	9.63755	14.2182	11.4486	4.90715	0.0113723	11.8322	0	117.798	0.936724	28.6152	
